	original_name	unified_name	category
0	THY1	THY1	MARKER
1	CD15	CD15	MARKER
2	TUBB	TUBB	MARKER
3	MKI67	MKI67	MARKER
4	cKIT	KIT	MARKER
5	beta-catenin	BCATENIN	MARKER
6	CDKN1A	CDKN1A	MARKER
7	KRT_PAN	PANCYTOKERATIN	MARKER
8	p_S6	RPS6_PHOSPHO	MARKER
9	LAG-3	LAG3	MARKER
10	pan-CK	PANCYTOKERATIN	MARKER
11	Phospho-ERK-1/2 (Thr202, Tyr204) (1)	ERK_PHOSPHO	MARKER
12	CHGA	CHGA	MARKER
13	CCR7	CCR7	MARKER
14	Phospho-pRb (Ser807, Ser811)	RB_PHOSPHO	MARKER
15	FoxP3	FOXP3	MARKER
16	CD183	CXCR5	MARKER
17	Synapto	SYNAPTOPHYSIN	MARKER
18	SNAI2	SNAI2	MARKER
19	PAX5	PAX5	MARKER
20	PTPRCRA	PTPRC	MARKER
21	PANCYTOKERATIN	PANCYTOKERATIN	MARKER
22	ICAM1	ICAM1	MARKER
23	iNOS	NOS2	MARKER
24	GITR	TNFRSF18	MARKER
25	Nestin	NES	MARKER
26	CD147	CD147	MARKER
27	Lysozyme	LYZ	MARKER
28	CDH12	CDH12	MARKER
29	CK-19	KRT19	MARKER
30	VEGF	VEGFA	MARKER
31	Collagen alpha-1(IV) chain	COLLAGEN_IV	MARKER
32	pS6	RPS6_PHOSPHO	MARKER
33	CD206	MSR1	MARKER
34	CEACAM1	CEACAM1	MARKER
35	IDO	IDO1	MARKER
36	TWIST1	TWIST1	MARKER
37	AR	AR	MARKER
38	Vimentin (2)	VIMENTIN	MARKER
39	CDH1	CDH1	MARKER
40	CD107A	LAMP1	MARKER
41	PCSK2	PCSK2	MARKER
42	EGFR	EGFR	MARKER
43	MHC class I antigen ABC	HLA_ABC	MARKER
44	PHOSPHO_HISTONEH3	HISTONEH3_PH	MARKER
45	CK-17	KRT17	MARKER
46	SYP	SYNAPTOPHYSIN	MARKER
47	CXCR5	CXCR5	MARKER
48	CD123	IL3RA	MARKER
49	Arginase1	ARG1	MARKER
50	Lamin-B1	LMNB1	MARKER
51	CD194	CCR4	MARKER
52	GranzymeB	GZMB	MARKER
53	CD3e	CD3E	MARKER
54	Siglec8	SIGLEC8	MARKER
55	Hoechst	HOECHST	TECHNICAL
56	HISTONEH3	HISTONEH3	MARKER
57	MAP-2	MAP2	MARKER
58	PPY	PPY	MARKER
59	pRB	RB_PHOSPHO	MARKER
60	CD197	CCR7	MARKER
61	FUT4	FUT4	MARKER
62	CD273	PDCD1LG2	MARKER
63	Lyve1	LYVE1	MARKER
64	HistoneH3	HISTONEH3	MARKER
65	Antigen Ki67 (1)	MKI67	MARKER
66	Ki67_570	MKI67	MARKER
67	p21	CDKN1A	MARKER
68	CAIX	CA9	MARKER
69	RPS6_PHOSPHO	RPS6_PHOSPHO	MARKER
70	MHCII	HLA_DRA	MARKER
71	MUC2	MUC2	MARKER
72	Hepar1	GPC3	MARKER
73	SOX10	SOX10	MARKER
74	CD154	CD40LG	MARKER
75	B2M	B2M	MARKER
76	SMA	ACTA2	MARKER
77	CK14	KRT14	MARKER
78	CD279	PDCD1	MARKER
79	T-bet	TBET	MARKER
80	PDGFRb	PDGFRB	MARKER
81	MUC1	MUC1	MARKER
82	pHH3	PH3	MARKER
83	DNA10	DNA10	TECHNICAL
84	p_mTOR	MTOR_PHOSPHO	MARKER
85	Sox9	SOX9	MARKER
86	CASP3_CLEAVED	CASP3_CLEAVED	MARKER
87	Lamin-A/C	LMNA	MARKER
88	pCREB	CREB_PHOSPHO	MARKER
89	pH3	PH3	MARKER
90	CD1c	CD1C	MARKER
91	CK8_18	KRT8_18	MARKER
92	CD36	CD36	MARKER
93	Vimentin (1)	VIMENTIN	MARKER
94	GATA3	GATA3	MARKER
95	EpCAM	EPCAM	MARKER
96	Phospho-RNA polymerase II subunit B1 CTD (Ser2)	POLR2B_PHOSPHO	MARKER
97	PD1	PDCD1	MARKER
98	KIFC1	KIFC1	MARKER
99	FOXOA3	FOXO3	MARKER
100	yH2AX	H2AX_PHOSPHO	MARKER
101	FN1	FN1	MARKER
102	CD11b	ITGAM	MARKER
103	CCNB1	CCNB1	MARKER
104	Bcatenin	BCATENIN	MARKER
105	pSTAT1	STAT1_PHOSPHO	MARKER
106	CD44	CD44	MARKER
107	PD-L2	PDCD1LG2	MARKER
108	SST	SST	MARKER
109	CD152	CTLA4	MARKER
110	KI-67	MKI67	MARKER
111	SLC2A1	SLC2A1	MARKER
112	Keratin	KRT	MARKER
113	KIT	KIT	MARKER
114	CD49f	ITGA6	MARKER
115	CLEAVED_CASPASE3	CASP3_CLEAVED	MARKER
116	CD8	CD8A	MARKER
117	B3GAT1	B3GAT1	MARKER
118	HE4	WFDC2	MARKER
119	cCASP3	CASP3_CLEAVED	MARKER
120	Prox1	PROX1	MARKER
121	CD23	FCER2	MARKER
122	CTLA4	CTLA4	MARKER
123	PCNA	PCNA	MARKER
124	G1/S-specific cyclin-E1	CCNE1	MARKER
125	PLK1	PLK1	MARKER
126	HISTONEH3_PH	HISTONEH3_PH	MARKER
127	LAG3	LAG3	MARKER
128	HSP 90	HSP90	MARKER
129	Tbet	TBET	MARKER
130	CD45	PTPRC	MARKER
131	GRANZYMEB	GZMB	MARKER
132	CD9	CD9	MARKER
133	cMyc	MYC	MARKER
134	CD85j	LILRB1	MARKER
135	CDH	CDH	MARKER
136	Phospho-ERK-1/2 (Thr202, Tyr204) (2)	ERK_PHOSPHO	MARKER
137	ITGA6	ITGA6	MARKER
138	CleavedCaspase3	CASP3_CLEAVED	MARKER
139	VWF	VWF	MARKER
140	SM-actin	ACTA2	MARKER
141	CD57	B3GAT1	MARKER
142	ENTPD1	ENTPD1	MARKER
143	Collagen	COLLAGEN	MARKER
144	ERK12	ERK_PHOSPHO	MARKER
145	H3K27me3	H3K27ME3	MARKER
146	IDO-1	IDO1	MARKER
147	HLA-B	HLA_B	MARKER
148	DNA5	DNA5	TECHNICAL
149	UPK3	UPK3	MARKER
150	c_Myc	MYC	MARKER
151	CD73	NT5E	MARKER
152	CollagenTypeI	COLLAGEN1	MARKER
153	HIF-1a	HIF1A	MARKER
154	TTF1	TTF1	MARKER
155	VISTA	VISTA	MARKER
156	CK-14	KRT14	MARKER
157	CD8a	CD8A	MARKER
158	IgM	IGHM	MARKER
159	LaminB1	LMNB1	MARKER
160	Arginase-1	ARG1	MARKER
161	E2F-1	E2F1	MARKER
162	aDefensin5	DEFA5	MARKER
163	IL6	IL6	MARKER
